timestamp,total
"20180605_0439",28
"20180605_0440",37
"20180605_0441",30
"20180605_0442",24
"20180605_0443",31
"20180605_0444",38
"20180605_0445",37
"20180605_0446",29
"20180605_0447",28
"20180605_0448",26
"20180605_0449",33
"20180605_0450",32
"20180605_0451",41
"20180605_0452",41
"20180605_0453",44
"20180605_0454",51
"20180605_0455",26
"20180605_0456",42
"20180605_0457",37
"20180605_0458",41
"20180605_0459",36
"20180605_0500",45
"20180605_0501",54
"20180605_0502",49
"20180605_0503",64
"20180605_0504",45
"20180605_0505",58
"20180605_0506",57
"20180605_0507",54
"20180605_0508",28
"20180605_0509",37
"20180605_0510",49
"20180605_0511",44
"20180605_0512",43
"20180605_0513",46
"20180605_0514",44
"20180605_0515",43
"20180605_0516",55
"20180605_0517",60
"20180605_0518",55
"20180605_0519",58
"20180605_0520",49
"20180605_0521",50
"20180605_0522",44
"20180605_0523",59
"20180605_0524",52
"20180605_0525",60
"20180605_0526",203
"20180605_0527",103
"20180605_0528",61
"20180605_0529",59
"20180605_0530",64
"20180605_0531",255
"20180605_0532",662
"20180605_0533",645
"20180605_0534",678
"20180605_0535",714
"20180605_0536",725
"20180605_0537",777
"20180605_0538",761
"20180605_0539",757
"20180605_0540",565
"20180605_0541",300
"20180605_0542",77
"20180605_0543",61
"20180605_0544",87
"20180605_0545",94
"20180605_0546",82
"20180605_0547",102
"20180605_0548",84
"20180605_0549",90
"20180605_0550",80
"20180605_0551",96
"20180605_0552",87
"20180605_0553",89
"20180605_0554",85
"20180605_0555",83
"20180605_0556",101
"20180605_0557",95
"20180605_0558",105
"20180605_0559",102
"20180605_0600",125
"20180605_0601",145
"20180605_0602",145
"20180605_0603",119
"20180605_0604",114
"20180605_0605",152
"20180605_0606",137
"20180605_0607",145
"20180605_0608",152
"20180605_0609",195
"20180605_0610",161
"20180605_0611",175
"20180605_0612",175
"20180605_0613",174
"20180605_0614",185
"20180605_0615",202
"20180605_0616",167
"20180605_0617",199
"20180605_0618",175
"20180605_0619",227
"20180605_0620",219
"20180605_0621",197
"20180605_0622",203
"20180605_0623",223
"20180605_0624",209
"20180605_0625",229
"20180605_0626",226
"20180605_0627",282
"20180605_0628",266
"20180605_0629",233
"20180605_0630",608
"20180605_0631",655
"20180605_0632",276
"20180605_0633",267
"20180605_0634",300
"20180605_0635",297
"20180605_0636",297
"20180605_0637",342
"20180605_0638",307
"20180605_0639",308
"20180605_0640",303
"20180605_0641",351
"20180605_0642",361
"20180605_0643",359
"20180605_0644",358
"20180605_0645",339
"20180605_0646",383
"20180605_0647",369
"20180605_0648",388
"20180605_0649",434
"20180605_0650",375
"20180605_0651",414
"20180605_0652",403
"20180605_0653",421
"20180605_0654",429
"20180605_0655",414
"20180605_0656",422
"20180605_0657",486
"20180605_0658",451
"20180605_0659",489
"20180605_0700",516
"20180605_0701",536
"20180605_0702",504
"20180605_0703",571
"20180605_0704",536
"20180605_0705",566
"20180605_0706",563
"20180605_0707",578
"20180605_0708",580
"20180605_0709",612
"20180605_0710",620
"20180605_0711",633
"20180605_0712",594
"20180605_0713",606
"20180605_0714",631
